,,,,,,,,,
Annual Visitation by Park Type or Region for: 2016 By Region,,,,,,,,,
,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,,
,,,,,,,,,
Alaska Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Tonto NM,"38,048",0,0,0,0,0,0,0,
Tumacacori NHP,"43,829",0,0,0,0,0,0,0,
Tuzigoot NM,"104,604",0,0,0,0,0,0,0,
Waco Mammoth NM,"69,510",0,0,0,0,0,0,0,
Walnut Canyon NM,"152,444",0,0,0,0,0,0,0,
Washita Battlefield NHS,"12,312",0,0,0,0,0,0,0,
White Sands NM,"555,793",0,0,0,0,"4,331",0,0,
Wupatki NM,"223,172",0,0,0,0,8,0,0,
Yellowstone NP,"4,257,177","579,227","583,068","101,639","68,991","44,663",0,"10,986",
Zion NP,"4,295,127","86,456",0,"137,442","70,728","28,248",0,"16,103",
Intermountain  Region Total,"54,241,653","1,793,403","1,037,106","1,205,220","861,219","769,505",0,"1,375,876",
,,,,,,,,,
Midwest  Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Agate Fossil Beds NM,"15,555",0,0,0,0,0,0,0,
Apostle Islands NL,"183,796",0,0,0,0,"11,220",0,"8,395",
Arkansas Post NMEM,"34,405",0,0,0,0,0,0,0,
Badlands NP,"996,263","9,875","47,131","7,934","1,500","1,410",0,318,
Brown v. Board of Education NHS,"27,968",0,0,0,0,0,0,0,
Buffalo NR,"1,785,359","3,150",0,"33,756","13,078","38,297",0,"10,032",
Charles Young Buffalo Soldiers NM,"10,211",0,0,0,0,0,0,0,
Cuyahoga Valley NP,"2,423,390","7,797",0,0,0,0,0,"1,545",
Dayton Aviation Heritage NHP,"95,334",0,0,0,0,0,0,0,
Effigy Mounds NM,"77,195",0,0,0,0,0,0,0,
First Ladies NHS,"13,378",0,0,0,0,0,0,0,
Fort Larned NHS,"31,060",0,0,0,0,0,0,0,
Fort Scott NHS,"29,291",0,0,0,0,0,0,0,
Fort Smith NHS,"163,636",0,0,0,0,0,0,0,
Fort Union Trading Post NHS,"17,502",0,0,0,0,0,0,0,
George Rogers Clark NHP,"126,095",0,0,0,0,0,0,0,
George Washington Carver NM,"46,397",0,0,0,0,0,0,0,
Grand Portage NM,"95,862",0,0,0,0,36,0,0,
Harry S Truman NHS,"34,616",0,0,0,0,0,0,0,
Herbert Hoover NHS,"152,382",0,0,0,0,0,0,0,
Homestead NM of America,"87,755",0,0,0,0,0,0,0,
Hopewell Culture NHP,"58,058",0,0,0,0,0,0,0,
Hot Springs NP,"1,544,300",0,0,"3,706","20,315",0,0,0,
Indiana Dunes NL,"1,698,223",0,0,"16,716","3,790",0,0,0,
Isle Royale NP,"24,966","10,128",171,"3,160",0,"22,604",338,"12,665",
James A. Garfield NHS,"45,437",0,0,0,0,0,0,0,
Jefferson NEM,"1,271,855",0,0,0,0,0,0,0,
Jewel Cave NM,"137,275",0,0,0,0,0,0,0,
Keweenaw NHP,"14,612",0,0,0,0,0,0,0,
Knife River Indian Villages NHS,"13,328",0,0,0,0,0,0,0,
Lincoln Boyhood NMEM,"125,562",0,0,0,0,0,0,0,
Lincoln Home NHS,"239,719",0,0,0,0,0,0,0,
Little Rock Central High School NHS,"129,540",0,0,0,0,0,0,0,
Minuteman Missile NHS,"133,895",0,0,0,0,0,0,0,
Mississippi NRRA,"256,944",0,0,0,0,0,0,0,
Missouri NRR,"148,210",0,0,0,0,0,0,0,
Mount Rushmore NMEM,"2,431,231",0,0,0,0,0,0,0,
Nicodemus NHS,"3,552",0,0,0,0,0,0,0,
Niobrara NSR,"73,813",0,0,0,0,0,0,0,
Ozark NSR,"1,241,480",0,0,"51,696","22,272","13,184",0,"31,343",
Pea Ridge NMP,"119,490",0,0,0,0,0,0,0,
Perry's Victory & Intl. Peace MEM,"142,152",0,0,0,0,0,0,34,
Pictured Rocks NL,"777,428",0,0,"16,825","5,626","21,020",0,0,
Pipestone NM,"67,489",0,0,0,0,0,0,0,
River Raisin NBP,"202,375",0,0,0,0,0,0,0,
Saint Croix NSR,"708,258",0,0,0,0,"91,544",0,0,
Scotts Bluff NM,"130,085",0,0,0,0,0,0,0,
Sleeping Bear Dunes NL,"1,683,553",0,0,"63,057","50,267","14,732",0,0,
Tallgrass Prairie NPRES,"29,378",0,0,0,0,0,0,0,
Theodore Roosevelt NP,"753,880",0,0,"14,835","17,730",232,0,"2,576",
Ulysses S. Grant NHS,"46,071",0,0,0,0,0,0,0,
Voyageurs NP,"241,912","3,983",0,0,0,"46,451",0,"28,674",
William Howard Taft NHS,"30,723",0,0,0,0,0,0,0,
Wilson's Creek NB,"183,698",0,0,0,0,0,0,0,
Wind Cave NP,"617,377",0,0,"4,093","4,401",493,0,663,
Midwest  Region Total,"21,773,319","34,933","47,302","215,778","138,979","261,223",338,"96,245",
,,,,,,,,,
National Capital  Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Antietam NB,"351,911",0,0,0,0,0,0,429,
Arlington House The R.E. Lee MEM,"1,057,500",0,0,0,0,0,0,0,
Belmont-Paul Women's Equality NM,"2,704",0,0,0,0,0,0,0,
Catoctin Mountain Park,"221,750",0,0,"6,558",752,483,0,"22,680",
Chesapeake & Ohio Canal NHP,"4,813,078",0,0,"3,724",0,0,0,"2,708",
Clara Barton NHS,0,0,0,0,0,0,0,0,
Ford's Theatre NHS,"650,779",0,0,0,0,0,0,0,
Fort Washington Park,"560,358",0,0,0,0,0,0,0,
Franklin Delano Roosevelt MEM,"4,360,502",0,0,0,0,0,0,0,
Frederick Douglass NHS,"67,387",0,0,0,0,0,0,0,
George Washington MEM PKWY,"10,323,339",0,0,0,0,0,0,0,
Greenbelt Park,"137,900",0,0,"9,575","7,489",0,0,389,
Harpers Ferry NHP,"335,691",0,0,0,0,0,0,0,
Korean War Veterans Memorial,"4,084,298",0,0,0,0,0,0,0,
LBJ Memorial Grove on the Potomac,"260,234",0,0,0,0,0,0,0,
Lincoln Memorial,"7,915,934",0,0,0,0,0,0,0,
Manassas NBP,"534,835",0,0,0,0,0,0,0,
"Martin Luther King, Jr. Memorial","3,638,208",0,0,0,0,0,0,0,
Mary McLeod Bethune Council House NHS,"7,149",0,0,0,0,0,0,0,
Monocacy NB,"87,547",0,0,0,0,0,0,0,
National Capital Parks Central,"1,813,222",0,0,0,0,0,0,0,
National Capital Parks East,"1,224,671",0,0,0,0,0,0,0,
Pennsylvania Avenue NHS,0,0,0,0,0,0,0,0,
Piscataway Park,"123,381",0,0,0,0,0,0,0,
President's Park,"989,424",0,0,0,0,0,0,0,
Prince William Forest Park,"344,435",0,"21,539","22,159","1,407",346,0,"63,915",
Rock Creek Park,"2,478,735",0,0,0,0,0,0,0,
Theodore Roosevelt Island,"164,360",0,0,0,0,0,0,0,
Thomas Jefferson MEM,"3,414,345",0,0,0,0,0,0,0,
Vietnam Veterans MEM,"5,299,713",0,0,0,0,0,0,0,
Washington Monument,"252,677",0,0,0,0,0,0,0,
White House,"611,207",0,0,0,0,0,0,0,
Wolf Trap NP for the Performing Arts,"437,513",0,0,0,0,0,0,0,
World War II Memorial,"4,856,532",0,0,0,0,0,0,0,
National Capital  Region Total,"61,421,319",0,"21,539","42,016","9,648",829,0,"90,121",
,,,,,,,,,
Northeast  Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Acadia NP,"3,303,393",0,977,"152,811","46,629","1,324",0,"8,563",
Adams NHP,"199,301",0,0,0,0,0,0,0,
African Burial Ground NM,"46,526",0,0,0,0,0,0,0,
Allegheny Portage Railroad NHS,"189,371",0,0,0,0,0,0,0,
Appomattox Court House NHP,"303,139",0,0,0,0,0,0,0,
Assateague Island NS,"2,267,821",0,0,"40,826","20,735",973,0,"14,725",
Bluestone NSR,"34,139",0,0,0,0,0,0,0,
Booker T. Washington NM,"23,440",0,0,0,0,0,0,0,
Boston African American NHS,"414,170",0,0,0,0,0,0,0,
Boston NHP,"2,594,495",0,0,0,0,0,0,0,
Cape Cod NS,"4,692,796","3,365",0,0,0,0,0,"10,079",
Castle Clinton NM,"4,812,930",0,0,0,0,0,0,0,
Colonial NHP,"3,352,656",0,0,0,0,0,0,0,
Delaware Water Gap NRA,"3,677,744",0,"8,711",0,0,"19,752",0,"22,387",
Edgar Allan Poe NHS,"14,827",0,0,0,0,0,0,0,
Eisenhower NHS,"55,550",0,0,0,0,0,0,0,
Eleanor Roosevelt NHS,"63,480",0,0,0,0,0,0,0,
Federal Hall NMEM,"314,531",0,0,0,0,0,0,0,
Fire Island NS,"431,303",0,"2,510",0,0,"1,546",0,"22,332",
Flight 93 NMEM,"385,123",0,0,0,0,0,0,0,
Fort McHenry NM & HS,"610,987",0,0,0,0,0,0,0,
Fort Necessity NB,"290,021",0,0,0,0,0,0,120,
Fort Stanwix NM,"94,006",0,0,0,0,0,0,0,
Frederick Law Olmsted NHS,"8,935",0,0,0,0,0,0,0,
Fredericksburg & Spotsylvania NMP,"969,895",0,0,0,0,0,0,0,
Friendship Hill NHS,"37,847",0,0,0,0,0,0,0,
Gateway NRA,"8,651,770",0,0,0,0,0,0,"1,601",
Gauley River NRA,"115,888",0,0,"3,449",668,0,0,0,
General Grant NMEM,"109,151",0,0,0,0,0,0,0,
George Washington Birthplace NM,"129,750",0,0,0,0,0,0,0,
Gettysburg NMP,"1,091,320",0,0,0,0,0,0,"7,902",
Governors Island NM,"522,859",0,0,0,0,0,0,0,
Hamilton Grange NMEM,"85,348",0,0,0,0,0,0,0,
Hampton NHS,"34,942",0,0,0,0,0,0,0,
Home of Franklin D. Roosevelt NHS,"193,272",0,0,0,0,0,0,0,
Hopewell Furnace NHS,"54,167",0,0,0,0,0,0,0,
Independence NHP,"5,067,510",0,0,0,0,0,0,0,
John F. Kennedy NHS,"25,467",0,0,0,0,0,0,0,
Johnstown Flood NMEM,"154,931",0,0,0,0,0,0,0,
Longfellow NHS,"49,697",0,0,0,0,0,0,0,
Lowell NHP,"541,825",0,0,0,0,0,0,0,
Maggie L. Walker NHS,"9,589",0,0,0,0,0,0,0,
Marsh-Billings-Rockefeller NHP,"55,716",0,0,0,0,0,0,0,
Martin Van Buren NHS,"22,100",0,0,0,0,0,0,0,
Minute Man NHP,"1,049,414",0,0,0,0,0,0,0,
Morristown NHP,"252,514",0,0,0,0,0,0,0,
New Bedford Whaling NHP,"145,500",0,0,0,0,0,0,0,
New River Gorge NR,"1,197,931",0,0,"4,596",895,0,0,0,
Paterson Great Falls NHP,"177,498",0,0,0,0,0,0,0,
Petersburg NB,"191,898",0,0,0,0,0,0,0,
Richmond NBP,"208,969",0,0,0,0,0,0,0,
Roger Williams NMEM,"65,588",0,0,0,0,0,0,0,
Sagamore Hill NHS,"53,920",0,0,0,0,0,0,0,
Saint Croix Island International Historic Site,"13,857",0,0,0,0,0,0,0,
Saint Paul's Church NHS,"20,830",0,0,0,0,0,0,0,
Saint-Gaudens NHS,"42,377",0,0,0,0,0,0,0,
Salem Maritime NHS,"371,989",0,0,0,0,0,0,0,
Saratoga NHP,"102,808",0,0,0,0,0,0,0,
Saugus Iron Works NHS,"11,159",0,0,0,0,0,0,0,
Shenandoah NP,"1,437,341","101,538",0,"129,594","51,255","48,825",0,86,
Springfield Armory NHS,"22,434",0,0,0,0,0,0,0,
Statue of Liberty NM,"4,501,547",0,0,0,0,0,0,0,
Steamtown NHS,"99,660",0,0,0,0,0,0,0,
Thaddeus Kosciuszko NMEM,"2,794",0,0,0,0,0,0,0,
Theodore Roosevelt Birthplace NHS,"6,582",0,0,0,0,0,0,0,
Theodore Roosevelt Inaugural NHS,"29,199",0,0,0,0,0,0,0,
Thomas Edison NHP,"57,694",0,0,0,0,0,0,0,
Thomas Stone NHS,"10,652",0,0,0,0,0,0,0,
Upper Delaware S&RR,"264,362",0,0,0,0,0,0,0,
Valley Forge NHP,"2,428,724",0,0,0,0,0,0,0,
Vanderbilt Mansion NHS,"387,856",0,0,0,0,0,0,0,
Weir Farm NHS,"39,079",0,0,0,0,0,0,0,
Women's Rights NHP,"52,683",0,0,0,0,0,0,0,
Northeast  Region Total,"59,350,587","104,903","12,198","331,276","120,182","72,420",0,"87,795",
,,,,,,,,,
Pacific West  Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Big Hole NB,"41,795",0,0,0,0,0,0,0,
Cabrillo NM,"959,145",0,0,0,0,0,0,0,
Cesar E. Chavez NM,"17,216",0,0,0,0,0,0,0,
Channel Islands NP,"364,807",0,0,0,0,"22,885","10,688","25,953",
City of Rocks NRES,"107,865",0,0,0,0,0,0,0,
Crater Lake NP,"756,344","35,871","50,761","6,280",0,"4,706",0,0,
Craters of the Moon NM,"255,436",0,0,"3,349","5,319",359,0,915,
Death Valley NP,"1,296,283","24,668","13,653","97,443","106,399",0,0,449,
Devils Postpile NM,"135,404",0,0,0,0,0,0,0,
Eugene O'Neill NHS,"4,287",0,0,0,0,0,0,0,
Fort Point NHS,"2,264,154",0,0,0,0,0,0,0,
Fort Vancouver NHS,"1,092,031",0,0,0,0,0,0,0,
Golden Gate NRA,"15,638,777","74,400",0,"4,337",0,"1,269",0,"6,667",
Great Basin NP,"144,846",0,0,"26,743","14,748","1,067",0,"1,868",
Hagerman Fossil Beds NM,"25,982",0,0,0,0,0,0,0,
Haleakala NP,"1,263,558",0,0,"8,332",0,"2,392",0,"3,519",
Hawaii Volcanoes NP,"1,887,580","30,606","4,427","1,697",0,"5,178",0,"84,080",
John Day Fossil Beds NM,"210,110",0,0,0,0,0,0,0,
John Muir NHS,"49,376",0,0,0,0,0,0,0,
Joshua Tree NP,"2,505,286",0,0,"232,964","65,409","21,195",0,"77,972",
Kalaupapa NHP,"71,527",0,0,0,0,0,0,0,
Kaloko Honokohau NHP,"185,041",0,0,0,0,0,0,0,
Kings Canyon NP,"607,479","50,079",0,"110,490","32,686","12,046",0,"2,397",
Klondike Gold Rush NHP Seattle,"69,435",0,0,0,0,0,0,0,
Lake Chelan NRA,"45,514","8,113",0,0,0,"6,314",0,0,
Lake Mead NRA,"7,175,891","25,231","44,662","98,223","125,008","155,433","103,004","57,149",
Lake Roosevelt NRA,"1,253,571","3,350","3,364","45,721","49,827","3,029",0,"12,059",
Lassen Volcanic NP,"536,068","6,182",0,"59,742","27,633","9,057",0,"14,508",
Lava Beds NM,"127,699",0,0,"8,229","2,128",49,0,945,
Lewis & Clark NHP,"281,576",0,0,0,0,0,0,0,
Manzanar NHS,"105,307",0,0,0,0,0,0,0,
Mojave NPRES,"585,635",0,0,"1,654","1,308",0,0,0,
Mount Rainier NP,"1,356,913","42,223",0,"64,265","28,981","57,636",0,953,
Muir Woods NM,"1,123,121",0,0,0,0,0,0,0,
National Park of American Samoa,"28,892",0,0,0,0,0,0,0,
Nez Perce NHP,"239,908",0,0,0,0,0,0,0,
North Cascades NP,"28,646",0,0,0,0,"25,516",0,0,
Olympic NP,"3,390,221","85,450","11,180","134,871","64,582","100,347",0,288,
Oregon Caves NM,"80,613","7,549",0,0,0,0,0,0,
Pinnacles NP,"215,555",0,0,0,0,0,0,0,
Point Reyes NS,"2,438,442","10,347","3,049",0,0,"40,363",0,0,
Port Chicago Naval Magazine NM,"1,942",0,0,0,0,0,0,0,
Pu'uhonua o Honaunau NHP,"421,027",0,0,0,0,0,0,0,
Pu'ukohola Heiau NHS,"138,565",0,0,0,0,0,0,0,
Redwood NP,"536,297",0,0,"4,979",0,"4,681",0,"2,520",
Rosie The Riveter WWII Home Front,"64,425",0,0,0,0,0,0,0,
Ross Lake NRA,"905,418","7,949",0,"26,307","9,684","25,153",0,982,
San Francisco Maritime NHP,"4,334,752",0,0,0,0,0,0,276,
San Juan Island NHP,"316,122",0,0,0,0,0,0,0,
Santa Monica Mountains NRA,"906,606",0,0,0,0,144,0,0,
Sequoia NP,"1,254,688","63,940",0,"149,714","69,732","36,247",0,319,
War in the Pacific NHP,"488,988",0,0,0,0,0,0,0,
Whiskeytown NRA,"875,565",0,"29,490",0,"2,378","5,583",0,"28,631",
Whitman Mission NHS,"50,148",0,0,0,0,0,0,0,
World War II Valor in the Pacific NM,"1,819,020",0,0,0,0,0,0,0,
Yosemite NP,"5,028,868","743,546",0,"490,431","376,744","216,989",0,"51,542",
Pacific West  Region Total,"66,109,767","1,219,504","160,586","1,575,771","982,566","757,638","113,692","373,992",
,,,,,,,,,
Southeast  Region,,,,,,,,,
,"Recreation
Visits","Concessioner
Lodging","Concessioner
Camping","Tent
Camping","RV
Campers","Backcountry
Campers","Non-recreation
Overnight Stay",Misc. Overnight Stay,
Abraham Lincoln Birthplace NHP,"252,495",0,0,0,0,0,0,0,
Andersonville NHS,"134,216",0,0,0,0,0,0,0,
Andrew Johnson NHS,"45,937",0,0,0,0,0,0,0,
Big Cypress NPRES,"1,102,148",0,0,"2,762","11,665","3,287",0,0,
Big South Fork NRRA,"684,715","2,707",0,"7,649","32,666","12,794",0,"3,434",
Biscayne NP,"514,709",0,0,"2,522",0,0,0,"4,516",
Blue Ridge PKWY,"15,175,578","49,154",0,"69,923","40,382",757,0,"1,294",
Buck Island Reef NM,"38,929",0,0,0,0,0,0,"3,840",
Canaveral NS,"1,629,944",0,0,0,0,"2,636",0,0,
Cane River Creole NHP,"26,863",0,0,0,0,0,0,0,
Cape Hatteras NS,"2,411,711",0,0,"41,062","25,000",0,540,"4,295",
Cape Lookout NS,"458,000","10,118",0,0,0,"37,197",0,0,
Carl Sandburg Home NHS,"80,696",0,0,0,0,0,0,0,
Castillo de San Marcos NM,"854,664",0,0,0,0,0,0,0,
Charles Pinckney NHS,"53,184",0,0,0,0,0,0,0,
Chattahoochee River NRA,"2,736,385",0,0,0,0,0,0,0,
Chickamauga & Chattanooga NMP,"1,027,738",0,0,0,0,0,0,"2,139",
Christiansted NHS,"115,446",0,0,0,0,0,0,0,
Congaree NP,"143,843",0,0,0,0,286,0,"6,256",
Cowpens NB,"213,299",0,0,0,0,0,0,300,
Cumberland Gap NHP,"820,387",0,0,"2,311","10,180","1,282",0,930,
Cumberland Island NS,"61,896",0,0,"11,839",0,"7,324",0,0,
De Soto NMEM,"232,463",0,0,0,0,0,0,0,
Dry Tortugas NP,"73,661",0,0,"5,934",0,0,"10,200","9,442",
Everglades NP,"930,907",0,0,"8,410","10,799","12,726",0,198,
Fort Caroline NMEM,"232,082",0,0,0,0,0,0,0,
Fort Donelson NB,"259,343",0,0,0,0,0,0,169,
Fort Frederica NM,"192,906",0,0,0,0,0,0,0,
Fort Matanzas NM,"557,810",0,0,0,0,0,0,0,
Fort Pulaski NM,"344,921",0,0,0,0,0,0,15,
Fort Raleigh NHS,"292,367",0,0,0,0,0,0,0,
Fort Sumter NM,"888,330",0,0,0,0,0,0,0,
Great Smoky Mountains NP,"11,312,786","11,493",0,"190,574","111,680","109,349",0,"24,777",
Guilford Courthouse NMP,"321,796",0,0,0,0,0,0,9,
Gulf Islands NS,"4,771,309",0,0,"37,870","140,712",119,0,"11,930",
Horseshoe Bend NMP,"83,370",0,0,0,0,0,0,0,
Jean Lafitte NHP & PRES,"438,420",0,0,0,0,0,0,0,
Jimmy Carter NHS,"66,441",0,0,0,0,0,0,0,
Kennesaw Mountain NBP,"2,360,256",0,0,0,0,0,0,0,
Kings Mountain NMP,"263,357",0,0,0,0,79,0,0,
Little River Canyon NPRES,"462,700",0,0,0,0,0,0,0,
Mammoth Cave NP,"586,514","16,365",0,"39,636","16,248","5,088",0,"3,102",
"Martin Luther King, Jr. NHS","467,715",0,0,0,0,0,0,0,
Moores Creek NB,"83,889",0,0,0,0,207,0,0,
Natchez NHP,"204,120",0,0,0,0,0,0,0,
Natchez Trace PKWY,"5,891,315",0,0,"5,907","10,038",0,0,0,
New Orleans Jazz NHP,"35,514",0,0,0,0,0,0,0,
Ninety Six NHS,"118,002",0,0,0,0,0,0,0,
Obed W&SR,"231,390",0,0,"4,464",0,487,0,0,
Ocmulgee NM,"162,260",0,0,0,0,0,0,0,
President W.J. Clinton Birthplace Home NHS,"10,468",0,0,0,0,0,0,0,
Russell Cave NM,"24,649",0,0,0,0,0,0,0,
Salt River Bay NHP & Ecological Pres,"16,449",0,0,0,0,0,0,0,
San Juan NHS,"1,456,553",0,0,0,0,0,0,0,
Shiloh NMP,"421,862",0,0,0,0,0,0,0,
Stones River NB,"346,213",0,0,0,0,0,0,0,
